timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0
246841, -0.5864787697792053, -0.16428080201148987, -5.552670478820801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
246851, -0.587003231048584, -0.16485729813575745, -5.552587985992432, 0.0, 0.0, -221.12872314453125, 0.0, 0.0, -0.08087158203125, 0, 0, 0, 0, 0, 0
246861, -0.5871691703796387, -0.1666017472743988, -5.55297327041626, 0.0, 0.0, -221.1295166015625, 0.0, 0.0, -0.079345703125, 0, 0, 0, 0, 0, 0
246871, -0.5871091485023499, -0.16984938085079193, -5.5502028465271, 0.0, 0.0, -221.12989807128906, 0.0, 0.0, -0.03814697265625, 0, 0, 0, 0, 0, 0
246881, -0.5882608294487, -0.16967107355594635, -5.5490336418151855, 0.0, 0.0, -221.13027954101562, 0.0, 0.0, -0.03814697265625, 0, 0, 0, 0, 0, 0
246891, -0.5881270170211792, -0.1679375320672989, -5.5501556396484375, 0.0, 0.0, -221.13063049316406, 0.0, 0.0, -0.03509521484375, 0, 0, 0, 0, 0, 0
246901, -0.5874202847480774, -0.16562098264694214, -5.549600124359131, 0.0, 0.0, -221.13096618652344, 0.0, 0.0, -0.0335693359375, 0, 0, 0, 0, 0, 0
246911, -0.5868615508079529, -0.16458110511302948, -5.5500712394714355, 0.0, 0.0, -221.13140869140625, 0.0, 0.0, -0.04425048828125, 0, 0, 0, 0, 0, 0
246921, -0.5861610174179077, -0.16515947878360748, -5.550666809082031, 0.0, 0.0, -221.13185119628906, 0.0, 0.0, -0.04425048828125, 0, 0, 0, 0, 0, 0
246931, -0.5870218276977539, -0.16218945384025574, -5.550746917724609, 0.0, 0.0, -221.13232421875, 0.0, 0.0, -0.04730224609375, 0, 0, 0, 0, 0, 0
246941, -0.5880460143089294, -0.1621754914522171, -5.550201416015625, 0.0, 0.0, -221.13279724121094, 0.0, 0.0, -0.04730224609375, 0, 0, 0, 0, 0, 0
246951, -0.5876429677009583, -0.16112323105335236, -5.552927017211914, 0.0, 0.0, -221.13307189941406, 0.0, 0.0, -0.0274658203125, 0, 0, 0, 0, 0, 0
246961, -0.5877018570899963, -0.1610935777425766, -5.552790641784668, 0.0, 0.0, -221.1333465576172, 0.0, 0.0, -0.0274658203125, 0, 0, 0, 0, 0, 0
246971, -0.5886543393135071, -0.15783217549324036, -5.553457260131836, 0.0, 0.0, -221.13348388671875, 0.0, 0.0, -0.01373291015625, 0, 0, 0, 0, 0, 0
246981, -0.5883330702781677, -0.15864747762680054, -5.553901672363281, 0.0, 0.0, -221.13360595703125, 0.0, 0.0, -0.01220703125, 0, 0, 0, 0, 0, 0
246991, -0.5880800485610962, -0.15936170518398285, -5.5528998374938965, 0.0, 0.0, -221.13369750976562, 0.0, 0.0, -0.0091552734375, 0, 0, 0, 0, 0, 0
247001, -0.5879904627799988, -0.16008780896663666, -5.552659511566162, 0.0, 0.0, -221.1337890625, 0.0, 0.0, -0.0091552734375, 0, 0, 0, 0, 0, 0
247011, -0.5873963832855225, -0.16088396310806274, -5.553284645080566, 0.0, 0.0, -221.13400268554688, 0.0, 0.0, -0.0213623046875, 0, 0, 0, 0, 0, 0
247021, -0.5888482928276062, -0.15901200473308563, -5.553896427154541, 0.0, 0.0, -221.13421630859375, 0.0, 0.0, -0.0213623046875, 0, 0, 0, 0, 0, 0
247031, -0.5887726545333862, -0.15929308533668518, -5.551841735839844, 0.0, 0.0, -221.13467407226562, 0.0, 0.0, -0.0457763671875, 0, 0, 0, 0, 0, 0
247041, -0.5872552990913391, -0.16122066974639893, -5.550968647003174, 0.0, 0.0, -221.1351318359375, 0.0, 0.0, -0.0457763671875, 0, 0, 0, 0, 0, 0
247051, -0.5859621167182922, -0.16040989756584167, -5.554321765899658, 0.0, 0.0, -221.1356964111328, 0.0, 0.0, -0.05645751953125, 0, 0, 0, 0, 0, 0
247061, -0.5860694646835327, -0.1629074513912201, -5.552374362945557, 0.0, 0.0, -221.13626098632812, 0.0, 0.0, -0.05645751953125, 0, 0, 0, 0, 0, 0
247071, -0.5860923528671265, -0.1628667414188385, -5.551581382751465, 0.0, 0.0, -221.1368408203125, 0.0, 0.0, -0.0579833984375, 0, 0, 0, 0, 0, 0
247081, -0.5862813591957092, -0.16378861665725708, -5.549251556396484, 0.0, 0.0, -221.1374053955078, 0.0, 0.0, -0.05645751953125, 0, 0, 0, 0, 0, 0
247091, -0.5870046019554138, -0.16191476583480835, -5.549625873565674, 0.0, 0.0, -221.13796997070312, 0.0, 0.0, -0.05645751953125, 0, 0, 0, 0, 0, 0
247101, -0.5868772864341736, -0.16228190064430237, -5.5466718673706055, 0.0, 0.0, -221.13853454589844, 0.0, 0.0, -0.05645751953125, 0, 0, 0, 0, 0, 0
247111, -0.5865331888198853, -0.16001884639263153, -5.546252250671387, 0.0, 0.0, -221.13916015625, 0.0, 0.0, -0.06256103515625, 0, 0, 0, 0, 0, 0
247121, -0.5852518677711487, -0.15811355412006378, -5.546059608459473, 0.0, 0.0, -221.13978576660156, 0.0, 0.0, -0.06256103515625, 0, 0, 0, 0, 0, 0
247131, -0.5846899151802063, -0.15836195647716522, -5.548162937164307, 0.0, 0.0, -221.1402587890625, 0.0, 0.0, -0.04730224609375, 0, 0, 0, 0, 0, 0
